gene_id	lsv_id	lsv_type	mean_psi_per_lsv_junction	stdev_psi_per_lsv_junction	num_junctions	num_exons	junctions_coords	ir_coords
AT3G06820.Araport11.447	AT3G06820.Araport11.447:s:2152016-2152323	s|1e1.1o1|2e1.1o1	0.9676;0.0324	0.0500;0.0500	2	2	2151934-2152117;2151934-2152016	
AT4G38760.Araport11.447	AT4G38760.Araport11.447:s:18090266-18090373	s|1e1.1o2|1e1.2o2	0.2657;0.7343	0.1104;0.1104	2	2	18090007-18090266;18089998-18090266	
AT5G47070.Araport11.447	AT5G47070.Araport11.447:t:19119598-19119849	t|1e1.1o1|1e2.1o1	0.9832;0.0168	0.0098;0.0098	2	3	19119849-19120142;19119849-19119936	
AT3G06880.Araport11.447	AT3G06880.Araport11.447:s:2170846-2170971	s|1e1.1o2|1e1.2o2	0.2071;0.7929	0.0953;0.0953	2	2	2170775-2170846;2170747-2170846	
AT2G37680.Araport11.447	AT2G37680.Araport11.447:s:15804318-15804461	s|1e1.1o2|1e1.2o2	0.0795;0.9205	0.0366;0.0366	2	2	15804231-15804318;15804225-15804318	
AT1G20810.Araport11.447	AT1G20810.Araport11.447:t:7232551-7232621	t|1e1.1o1|1e2.1o1	0.8955;0.1045	0.0377;0.0377	2	3	7232289-7232551;7232320-7232551	
AT1G20810.Araport11.447	AT1G20810.Araport11.447:s:7233119-7233205	s|1e2.1o1|2e1.1o1	0.7980;0.2020	0.0568;0.0568	2	3	7233178-7233302;7233205-7233300	
AT4G17020.Araport11.447	AT4G17020.Araport11.447:s:9579007-9579092	s|1e1.1o2|1e1.2o2	0.9090;0.0910	0.0459;0.0459	2	2	9578916-9579007;9578911-9579007	
AT3G54620.Araport11.447	AT3G54620.Araport11.447:s:20218714-20218789	s|1e1.1o2|1e1.2o2	0.8818;0.1182	0.0280;0.0280	2	2	20218609-20218714;20218536-20218714	
AT1G02910.Araport11.447	AT1G02910.Araport11.447:s:657392-657495	s|1e1.1o2|1e1.2o2	0.1513;0.8487	0.0634;0.0634	2	2	657281-657392;657277-657392	
AT2G20830.Araport11.447	AT2G20830.Araport11.447:t:8969417-8969811	t|1e1.1o1|1e2.1o1	0.7930;0.2070	0.0773;0.0773	2	3	8969811-8970018;8969811-8970014	
AT5G47080.Araport11.447	AT5G47080.Araport11.447:s:19125770-19125988	s|1e1.1o2|1e1.2o2	0.8311;0.1689	0.0448;0.0448	2	2	19125625-19125770;19125610-19125770	
AT1G02910.Araport11.447	AT1G02910.Araport11.447:s:656827-657058	s|1e1.1o2|1e1.2o2	0.1860;0.8140	0.0549;0.0549	2	2	656755-656827;656745-656827	
AT5G20250.Araport11.447	AT5G20250.Araport11.447:s:na-6833895	s|1e1.1o2|1e1.2o2	0.5753;0.4247	0.0601;0.0601	2	2	6833895-6833989;6833895-6834005	
AT2G37690.Araport11.447	AT2G37690.Araport11.447:s:15807065-15807176	s|1e1.1o2|1e1.2o2	0.3889;0.6111	0.1368;0.1368	2	2	15807176-15807258;15807176-15807271	
AT1G02910.Araport11.447	AT1G02910.Araport11.447:s:656588-656755	s|1e1.1o2|1e1.2o2	0.9388;0.0612	0.0252;0.0252	2	2	656505-656588;656495-656588	
AT2G37690.Araport11.447	AT2G37690.Araport11.447:s:15808882-15808992	s|1e1.1o1|1e2.1o1	0.8486;0.1514	0.0779;0.0779	2	3	15808992-15809191;15808992-15809525	
AT1G02960.Araport11.447	AT1G02960.Araport11.447:s:667541-667641	s|1e1.1o2|1e1.2o2	0.7496;0.2504	0.0833;0.0833	2	2	667464-667541;667437-667541	
AT2G37690.Araport11.447	AT2G37690.Araport11.447:t:15809525-15809642	t|1e1.1o1|1e2.1o1	0.1359;0.8641	0.0738;0.0738	2	3	15808992-15809525;15809288-15809525	
AT3G07140.Araport11.447	AT3G07140.Araport11.447:s:2263160-2263340	s|1e1.1o1|1e2.1o1	0.4737;0.5263	0.0740;0.0740	2	3	2263340-2263445;2263340-2263448	
AT4G38930.Araport11.447	AT4G38930.Araport11.447:s:18150893-18151113	s|1e1.1o1|2e1.1o1	0.5998;0.4002	0.0737;0.0737	2	2	18151101-18151189;18151113-18151189	
AT1G14580.Araport11.447	AT1G14580.Araport11.447:t:4990042-4990256	t|1e1.1o1|1e2.1o1	0.3909;0.6091	0.1493;0.1493	2	3	4989618-4990042;4989790-4990042	
AT4G17050.Araport11.447	AT4G17050.Araport11.447:t:9589783-9589911	t|1e1.1o1|1e2.1o1	0.9696;0.0304	0.0171;0.0171	2	3	9589698-9589783;9589702-9589783	
AT3G07170.Araport11.447	AT3G07170.Araport11.447:s:2281221-2281551	s|1e1.1o1|2e1.1o1	0.9242;0.0758	0.0356;0.0356	2	2	2281474-2281648;2281551-2281648	
AT2G37760.Araport11.447	AT2G37760.Araport11.447:s:15832191-15832241	s|1e1.1o3|1e1.2o3|1e1.3o3	0.0266;0.9538;0.0191	0.0142;0.0190;0.0124	3	2	15832241-15832330;15832241-15832541;15832241-15832586	
AT2G20850.Araport11.447	AT2G20850.Araport11.447:s:8978250-8978325	s|1e1.1o1|2e1.1o1	0.8723;0.1277	0.0605;0.0605	2	2	8978174-8978254;8978174-8978250	
AT3G54750.Araport11.447	AT3G54750.Araport11.447:s:20268196-20268269	s|1e1.1o2|1e1.2o2	0.2628;0.7372	0.1341;0.1341	2	2	20268129-20268196;20268126-20268196	
AT3G07180.Araport11.447	AT3G07180.Araport11.447:s:2284026-2284099	s|1e1.1o1|2e1.1o1	0.1509;0.8491	0.0443;0.0443	2	2	2283889-2284028;2283889-2284026	
AT3G54810.Araport11.447	AT3G54810.Araport11.447:s:na-20296399	s|1e1.1o2|1e1.2o2	0.9815;0.0185	0.0106;0.0106	2	2	20296399-20296929;20296399-20296933	
AT1G03000.Araport11.447	AT1G03000.Araport11.447:s:689981-690173	s|1e1.1o1|2e1.1o1	0.7862;0.2138	0.0753;0.0753	2	2	689813-689985;689813-689981	
AT5G47210.Araport11.447	AT5G47210.Araport11.447:s:19169486-19169533	s|1e1.1o1|2e2.1o1	0.0105;0.9895	0.0019;0.0019	2	3	19169402-19169488;19169401-19169486	
AT1G20840.Araport11.447	AT1G20840.Araport11.447:t:7247596-7247687	t|1e1.1o1|1e2.1o1	0.8005;0.1995	0.0863;0.0863	2	3	7247687-7248031;7247687-7247910	
AT2G37840.Araport11.447	AT2G37840.Araport11.447:s:15852680-15852738	s|1e1.1o2|1e1.2o2	0.2500;0.7500	0.1174;0.1174	2	2	15852738-15852854;15852738-15852999	
AT2G37840.Araport11.447	AT2G37840.Araport11.447:s:15852854-15853175	s|1e1.1o1|2e1.1o1	0.2315;0.7685	0.0832;0.0832	2	2	15853063-15853255;15853175-15853255	
AT1G03030.Araport11.447	AT1G03030.Araport11.447:s:702679-702737	s|1e1.1o2|1e1.2o2	0.1498;0.8502	0.0536;0.0536	2	2	702737-702812;702737-702828	
AT5G20380.Araport11.447	AT5G20380.Araport11.447:s:6891468-6891567	s|1e1.1o2|1e1.2o2	0.2664;0.7336	0.0616;0.0616	2	2	6891277-6891468;6891261-6891468	
AT2G37840.Araport11.447	AT2G37840.Araport11.447:s:15853255-15853348	s|1e1.1o2|1e1.2o2	0.8387;0.1613	0.0787;0.0787	2	2	15853348-15853426;15853348-15853430	
AT1G78920.Araport11.447	AT1G78920.Araport11.447:s:na-29675581	s|1e1.1o2|1e1.2o2	0.9697;0.0303	0.0169;0.0169	2	2	29675581-29675662;29675581-29675666	
AT3G07200.Araport11.447	AT3G07200.Araport11.447:s:na-2290930	s|1e1.1o2|1e1.2o2	0.7212;0.2788	0.1263;0.1263	2	2	2290930-2291321;2290930-2291326	
AT2G37840.Araport11.447	AT2G37840.Araport11.447:s:15853598-15853706	s|1e1.1o1|1e2.1o1	0.1059;0.8941	0.0542;0.0542	2	3	15853706-15853931;15853706-15854135	
AT5G20380.Araport11.447	AT5G20380.Araport11.447:s:6889056-6889092	s|1e1.1o2|1e1.2o2	0.0702;0.9298	0.0312;0.0312	2	2	6888944-6889056;6888939-6889056	
AT3G07300.Araport11.447	AT3G07300.Araport11.447:s:2327536-na	s|1e1.1o2|1e1.2o2	0.3763;0.6237	0.0782;0.0782	2	2	2327424-2327536;2327406-2327536	
AT3G54840.Araport11.447	AT3G54840.Araport11.447:s:20320404-20320490	s|1e1.1o1|1e2.1o1|1e3.1o1	0.0508;0.0499;0.9026	0.0273;0.0288;0.0364	3	4	20320490-20320592;20320490-20320723;20320490-20320741	
AT2G37840.Araport11.447	AT2G37840.Araport11.447:t:15854135-15854207	t|1e1.1o1|1e2.1o1	0.8657;0.1343	0.0684;0.0684	2	3	15853706-15854135;15854010-15854135	
AT5G20490.Araport11.447	AT5G20490.Araport11.447:s:6928981-6929146	s|1e1.1o1|2e1.1o1	0.9614;0.0386	0.0200;0.0200	2	2	6928891-6928991;6928891-6928981	
AT3G07300.Araport11.447	AT3G07300.Araport11.447:s:2326719-2327012	s|1e1.1o1|2e1.1o1	0.7628;0.2372	0.0801;0.0801	2	2	2326220-2326725;2326220-2326719	
AT2G37840.Araport11.447	AT2G37840.Araport11.447:s:15854609-15854674	s|1e1.1o2|1e1.2o2	0.8022;0.1978	0.0570;0.0570	2	2	15854674-15854758;15854674-15854761	
AT5G20500.Araport11.447	AT5G20500.Araport11.447:s:na-6938809	s|1e1.1o1|1e2.1o1	0.9819;0.0181	0.0110;0.0110	2	3	6938809-6939178;6938809-6939399	
AT1G03040.Araport11.447	AT1G03040.Araport11.447:s:706101-na	s|1e1.1o2|1e1.2o2	0.8927;0.1073	0.0290;0.0290	2	2	705656-706101;705641-706101	
AT5G20500.Araport11.447	AT5G20500.Araport11.447:t:6939399-6939497	t|1e1.1o1|1e2.1o1	0.0156;0.9844	0.0096;0.0096	2	3	6938809-6939399;6939251-6939399	
AT3G07360.Araport11.447	AT3G07360.Araport11.447:s:na-2355174	s|1e1.1o1|1e2.1o1	0.1834;0.8166	0.0491;0.0491	2	3	2355174-2355246;2355174-2355522	
AT3G54860.Araport11.447	AT3G54860.Araport11.447:s:20326973-20327075	s|1e1.1o1|2e1.1o1	0.9603;0.0397	0.0234;0.0234	2	2	20326812-20327022;20326812-20326973	
AT3G07360.Araport11.447	AT3G07360.Araport11.447:t:2355522-na	t|1e1.1o1|1e2.1o1	0.7699;0.2301	0.0457;0.0457	2	3	2355174-2355522;2355337-2355522	
AT4G39030.Araport11.447	AT4G39030.Araport11.447:s:na-18186154	s|1e1.1o1|1e2.1o1	0.9916;0.0084	0.0069;0.0069	2	3	18186154-18186745;18186154-18186924	
AT1G17590.Araport11.447	AT1G17590.Araport11.447:t:6051702-6052052	t|1e1.1o1|1e2.1o1	0.2292;0.7708	0.1123;0.1123	2	3	6052052-6052409;6052052-6052404	
AT4G17140.Araport11.447	AT4G17140.Araport11.447:s:9627470-9627613	s|1e1.1o1|2e1.1o1	0.1195;0.8805	0.0673;0.0673	2	2	9627398-9627482;9627398-9627470	
AT5G20520.Araport11.447	AT5G20520.Araport11.447:s:6945378-6945432	s|1e1.1o2|1e1.2o2|2e1.1o2	0.0762;0.0369;0.8824	0.0332;0.0220;0.0386	3	2	6945285-6945398;6945233-6945398;6945285-6945378	
AT2G37940.Araport11.447	AT2G37940.Araport11.447:s:15877285-15877374	s|1e1.1o2|1e1.2o2	0.9863;0.0137	0.0077;0.0077	2	2	15877374-15877673;15877374-15877689	
AT4G39030.Araport11.447	AT4G39030.Araport11.447:t:18186745-18186839	t|1e1.1o1|1e2.1o1	0.8698;0.1302	0.0363;0.0363	2	3	18186154-18186745;18186238-18186745	
AT2G20950.Araport11.447	AT2G20950.Araport11.447:s:9004106-9004228	s|1e1.1o2|1e1.2o2	0.3302;0.6698	0.0547;0.0547	2	2	9004228-9004308;9004228-9004314	
AT3G07400.Araport11.447	AT3G07400.Araport11.447:s:2369893-2369958	s|1e1.1o2|1e1.2o2	0.2587;0.7413	0.0803;0.0803	2	2	2369958-2370181;2369958-2370191	
AT4G39030.Araport11.447	AT4G39030.Araport11.447:t:18186924-18187032	t|1e1.1o1|1e2.1o1	0.0070;0.9930	0.0057;0.0057	2	3	18186154-18186924;18186839-18186924	
AT3G54880.Araport11.447	AT3G54880.Araport11.447:s:20338401-na	s|1e1.1o1|1e2.3o3	0.9399;0.0601	0.0328;0.0328	2	3	20338005-20338401;20337810-20338401	
AT1G20880.Araport11.447	AT1G20880.Araport11.447:s:7263871-7263997	s|1e1.1o1|1e2.1o1	0.1283;0.8717	0.0605;0.0605	2	3	7263616-7263871;7263327-7263871	
AT4G39050.Araport11.447	AT4G39050.Araport11.447:s:18195936-18196044	s|1e1.1o1|2e1.1o1	0.9258;0.0742	0.0422;0.0422	2	2	18196040-18196433;18196044-18196433	
AT1G03080.Araport11.447	AT1G03080.Araport11.447:s:737562-737624	s|1e1.1o2|1e1.2o2	0.8771;0.1229	0.0621;0.0621	2	2	737437-737562;737420-737562	
AT3G54880.Araport11.447	AT3G54880.Araport11.447:t:20337657-20337883	t|1e2.1o1|2e2.1o1|3e1.1o1	0.2160;0.7434;0.0334	0.0491;0.0522;0.0213	3	3	20337883-20337968;20337880-20337968;20337810-20338401	
AT1G20880.Araport11.447	AT1G20880.Araport11.447:t:7263285-7263327	t|1e1.1o1|1e2.1o1	0.8642;0.1358	0.0599;0.0599	2	3	7263327-7263871;7263327-7263560	
AT5G47430.Araport11.447	AT5G47430.Araport11.447:s:19240802-na	s|1e1.1o1|1e2.1o1	0.9047;0.0953	0.0499;0.0499	2	3	19240609-19240802;19240164-19240802	
AT1G03090.Araport11.447	AT1G03090.Araport11.447:s:740970-741065	s|1e1.1o1|1e2.2o2	0.8076;0.1924	0.0526;0.0526	2	3	741065-741148;741065-741509	
AT5G47430.Araport11.447	AT5G47430.Araport11.447:t:19240068-19240164	t|1e1.1o1|1e2.1o1	0.0769;0.9231	0.0371;0.0371	2	3	19240164-19240802;19240164-19240431	
AT3G54920.Araport11.447	AT3G54920.Araport11.447:s:na-20346430	s|1e1.1o2|1e1.2o2	0.0878;0.9122	0.0267;0.0267	2	2	20346430-20346928;20346430-20347001	
AT1G20880.Araport11.447	AT1G20880.Araport11.447:s:7262874-7263181	s|1e1.1o2|1e1.2o2	0.8602;0.1398	0.0584;0.0584	2	2	7262780-7262874;7262757-7262874	
AT1G03090.Araport11.447	AT1G03090.Araport11.447:t:741446-741601	t|1e2.1o1|2e1.1o1|2e2.1o1	0.1374;0.2462;0.6070	0.0546;0.0640;0.0741	3	3	741207-741446;741065-741509;741207-741509	
AT5G20590.Araport11.447	AT5G20590.Araport11.447:s:6964963-6965156	s|1e1.1o2|1e1.2o2	0.1310;0.8690	0.0681;0.0681	2	2	6965156-6965344;6965156-6965349	
AT3G07510.Araport11.447	AT3G07510.Araport11.447:t:na-2394486	t|1e1.1o1|1e2.1o1	0.7675;0.2325	0.0954;0.0954	2	3	2394486-2394574;2394486-2394568	
AT3G54970.Araport11.447	AT3G54970.Araport11.447:s:20369447-na	s|1e1.1o2|1e1.2o2	0.2781;0.7219	0.1500;0.1500	2	2	20369316-20369447;20369312-20369447	
AT5G47435.Araport11.447	AT5G47435.Araport11.447:s:19243084-19243197	s|1e1.1o1|2e1.1o1	0.9455;0.0545	0.0289;0.0289	2	2	19243170-19243278;19243197-19243278	
AT3G55000.Araport11.447	AT3G55000.Araport11.447:s:20383162-20383187	s|1e1.1o2|1e1.2o2	0.0757;0.9243	0.0371;0.0371	2	2	20383187-20383274;20383187-20383283	
AT4G39090.Araport11.447	AT4G39090.Araport11.447:s:18216479-18216754	s|1e1.1o1|2e1.1o1	0.9977;0.0023	0.0000;0.0000	2	2	18216353-18216635;18216353-18216479	
AT5G20700.Araport11.447	AT5G20700.Araport11.447:s:7006399-na	s|1e1.1o1|1e2.1o1	0.9915;0.0085	0.0000;0.0003	2	3	7006319-7006399;7006317-7006399	
AT4G39100.Araport11.447	AT4G39100.Araport11.447:s:18219336-18219404	s|1e1.1o2|1e1.2o2	0.8002;0.1998	0.0345;0.0345	2	2	18218753-18219336;18218733-18219336	
AT5G20720.Araport11.447	AT5G20720.Araport11.447:t:7015005-7015188	t|1e1.1o1|2e2.1o1|3e2.1o1	0.0227;0.9467;0.0308	0.0140;0.0204;0.0164	3	3	7014748-7015005;7014749-7015010;7014749-7015013	
AT4G17150.Araport11.447	AT4G17150.Araport11.447:s:9638739-9638824	s|1e1.1o1|2e1.1o1	0.7261;0.2739	0.0687;0.0687	2	2	9638820-9638926;9638824-9638926	
AT3G55020.Araport11.447	AT3G55020.Araport11.447:s:20391742-20391839	s|1e1.1o1|2e1.1o1	0.8763;0.1237	0.0471;0.0471	2	2	20391586-20391747;20391586-20391742	
AT1G20890.Araport11.447	AT1G20890.Araport11.447:s:7266737-7266875	s|1e1.1o1|2e1.1o1	0.0900;0.9100	0.0399;0.0399	2	2	7266644-7266768;7266644-7266737	
AT4G39140.Araport11.447	AT4G39140.Araport11.447:t:18230997-18231378	t|1e1.1o1|1e2.1o1|2e1.1o1|3e1.1o1	0.7015;0.0819;0.0706;0.1424	0.0650;0.0365;0.0347;0.0504	4	3	18231378-18231914;18231378-18231907;18231374-18231914;18231301-18231914	
AT2G21150.Araport11.447	AT2G21150.Araport11.447:s:9066712-9066790	s|1e1.1o2|1e1.2o2	0.1701;0.8299	0.0689;0.0689	2	2	9066790-9066873;9066790-9066886	
AT1G03160.Araport11.447	AT1G03160.Araport11.447:s:762510-762628	s|1e1.1o1|2e1.1o1	0.7155;0.2845	0.0859;0.0859	2	2	762578-763013;762628-763013	
AT3G07525.Araport11.447	AT3G07525.Araport11.447:s:2400222-na	s|1e1.1o2|1e1.2o2	0.3509;0.6491	0.1373;0.1373	2	2	2400140-2400222;2400137-2400222	
AT4G17150.Araport11.447	AT4G17150.Araport11.447:s:9639129-9639255	s|1e1.1o2|1e1.2o2	0.1967;0.8033	0.0596;0.0596	2	2	9639255-9639330;9639255-9639334	
AT1G03160.Araport11.447	AT1G03160.Araport11.447:t:762510-762628	t|1e1.1o1|1e2.1o1	0.9336;0.0664	0.0477;0.0477	2	3	762391-762510;762414-762510	
AT1G03160.Araport11.447	AT1G03160.Araport11.447:s:764699-764866	s|1e1.1o1|2e1.1o1	0.0398;0.9602	0.0253;0.0253	2	2	764831-765025;764866-765025	
AT5G20840.Araport11.447	AT5G20840.Araport11.447:s:7065953-7066086	s|1e1.1o2|1e1.2o2	0.9075;0.0925	0.0491;0.0491	2	2	7065851-7065953;7065843-7065953	
AT3G07530.Araport11.447	AT3G07530.Araport11.447:s:2401375-2401589	s|1e1.1o2|1e1.2o2	0.7336;0.2664	0.1262;0.1262	2	2	2401589-2401680;2401589-2401685	
AT2G21170.Araport11.447	AT2G21170.Araport11.447:s:9072912-na	s|1e1.1o1|1e2.1o1	0.9721;0.0279	0.0138;0.0138	2	3	9072502-9072912;9072384-9072912	
AT1G03190.Araport11.447	AT1G03190.Araport11.447:s:776482-776762	s|1e1.1o2|1e1.2o2	0.3201;0.6799	0.1240;0.1240	2	2	776762-777151;776762-777155	
AT4G17150.Araport11.447	AT4G17150.Araport11.447:s:9640343-9640528	s|1e1.1o1|1e2.1o1	0.9476;0.0524	0.0298;0.0298	2	3	9640528-9640786;9640528-9641006	
AT4G17150.Araport11.447	AT4G17150.Araport11.447:t:9641006-9641062	t|1e1.1o1|1e2.1o1	0.0651;0.9349	0.0356;0.0356	2	3	9640528-9641006;9640923-9641006	
AT3G22950.Araport11.447	AT3G22950.Araport11.447:s:8137770-na	s|1e1.1o2|1e1.2o2	0.8124;0.1876	0.0464;0.0464	2	2	8137542-8137770;8137525-8137770	
AT5G47455.Araport11.447	AT5G47455.Araport11.447:s:19251078-19251196	s|1e1.1o1|1e2.1o1|1e3.1o1	0.6026;0.1614;0.2303	0.0907;0.0673;0.0725	3	4	19251196-19251658;19251196-19251935;19251196-19252204	
AT3G07565.Araport11.447	AT3G07565.Araport11.447:s:2414763-2414825	s|1e1.1o2|1e1.2o2	0.4014;0.5986	0.0651;0.0651	2	2	2414825-2415061;2414825-2415064	
AT2G21170.Araport11.447	AT2G21170.Araport11.447:s:9072315-9072384	s|1e1.1o1|2e1.1o1	0.0068;0.9932	0.0007;0.0007	2	2	9072193-9072319;9072193-9072315	
AT5G47455.Araport11.447	AT5G47455.Araport11.447:s:19251658-19251704	s|1e1.1o1|1e2.1o1	0.5486;0.4514	0.1169;0.1169	2	3	19251704-19251935;19251704-19252204	
AT3G07565.Araport11.447	AT3G07565.Araport11.447:s:2415272-2415381	s|1e1.1o1|2e1.1o1	0.8943;0.1057	0.0419;0.0419	2	2	2415354-2415553;2415381-2415553	
AT2G21170.Araport11.447	AT2G21170.Araport11.447:t:9072315-9072384	t|1e1.1o1|1e2.1o1	0.0236;0.9764	0.0128;0.0128	2	3	9072384-9072912;9072384-9072476	
AT4G39180.Araport11.447	AT4G39180.Araport11.447:s:18244922-18245011	s|1e1.1o2|1e1.2o2	0.7976;0.2024	0.0762;0.0762	2	2	18244847-18244922;18244844-18244922	
AT5G47455.Araport11.447	AT5G47455.Araport11.447:t:19251935-19251979	t|1e1.1o1|1e2.1o1	0.4005;0.5995	0.1273;0.1273	2	3	19251196-19251935;19251704-19251935	
AT1G03250.Araport11.447	AT1G03250.Araport11.447:s:795102-na	s|1e1.1o2|1e1.2o2	0.1616;0.8384	0.0557;0.0557	2	2	794983-795102;794969-795102	
AT3G55080.Araport11.447	AT3G55080.Araport11.447:s:20414769-20414832	s|1e1.1o2|1e1.2o2	0.8222;0.1778	0.0881;0.0881	2	2	20414664-20414769;20414651-20414769	
AT3G07590.Araport11.447	AT3G07590.Araport11.447:s:2423299-2423375	s|1e1.1o1|1e2.1o1	0.2256;0.7744	0.0644;0.0644	2	3	2423375-2423454;2423375-2423603	
AT5G47455.Araport11.447	AT5G47455.Araport11.447:t:19252204-na	t|1e1.1o1|1e2.1o1|1e3.1o1	0.3280;0.3038;0.3311	0.1089;0.1007;0.1146	3	4	19251196-19252204;19251704-19252204;19251979-19252204	
AT4G39200.Araport11.447	AT4G39200.Araport11.447:s:18257563-18257637	s|1e1.1o2|1e1.2o2	0.9870;0.0130	0.0023;0.0023	2	2	18257637-18257833;18257637-18257836	
AT5G47480.Araport11.447	AT5G47480.Araport11.447:s:19261315-19261602	s|1e1.1o2|1e1.2o2	0.9024;0.0976	0.0329;0.0329	2	2	19261602-19261818;19261602-19261824	
AT3G55080.Araport11.447	AT3G55080.Araport11.447:s:20413303-20413343	s|1e1.1o2|1e1.2o2	0.6027;0.3973	0.1022;0.1022	2	2	20413218-20413303;20413205-20413303	
AT2G38020.Araport11.447	AT2G38020.Araport11.447:s:15912942-15913232	s|1e1.1o2|1e1.2o2	0.9290;0.0710	0.0396;0.0396	2	2	15912691-15912942;15912687-15912942	
AT3G55160.Araport11.447	AT3G55160.Araport11.447:s:20445593-na	s|1e1.1o1|1e2.1o1	0.2167;0.7833	0.0846;0.0846	2	3	20444916-20445593;20444896-20445593	
AT3G07590.Araport11.447	AT3G07590.Araport11.447:t:2423603-2423794	t|1e1.1o1|1e2.1o1	0.6783;0.3217	0.0673;0.0673	2	3	2423375-2423603;2423526-2423603	
AT5G20920.Araport11.447	AT5G20920.Araport11.447:s:7096623-7096669	s|1e1.1o2|1e1.2o2	0.9233;0.0767	0.0239;0.0239	2	2	7096495-7096623;7096492-7096623	
AT1G03260.Araport11.447	AT1G03260.Araport11.447:s:796776-796892	s|1e1.1o2|1e1.2o2	0.1630;0.8370	0.0779;0.0779	2	2	796631-796776;796628-796776	
AT2G38040.Araport11.447	AT2G38040.Araport11.447:s:na-15920771	s|1e1.1o1|1e2.1o1	0.2263;0.7737	0.0426;0.0426	2	3	15920771-15920848;15920771-15920856	
AT3G07630.Araport11.447	AT3G07630.Araport11.447:s:2437471-2437550	s|1e1.1o1|1e2.1o1	0.9196;0.0804	0.0483;0.0483	2	3	2437550-2437626;2437550-2437636	
AT1G03290.Araport11.447	AT1G03290.Araport11.447:s:na-807510	s|1e1.1o1|1e2.1o1	0.1046;0.8954	0.0576;0.0576	2	3	807510-807592;807510-807951	
AT3G07650.Araport11.447	AT3G07650.Araport11.447:s:na-2441840	s|1e1.1o1|1e2.1o1	0.2371;0.7629	0.0407;0.0407	2	3	2441840-2442463;2441840-2442466	
AT3G55260.Araport11.447	AT3G55260.Araport11.447:s:20490950-20490998	s|1e1.1o1|1e2.1o1	0.9026;0.0974	0.0381;0.0381	2	3	20490998-20491286;20490998-20491596	
AT4G17300.Araport11.447	AT4G17300.Araport11.447:s:9683543-9683617	s|1e1.1o1|2e1.1o1	0.1459;0.8541	0.0479;0.0479	2	2	9683610-9683710;9683617-9683710	
AT3G07650.Araport11.447	AT3G07650.Araport11.447:s:2443123-2443293	s|1e1.1o1|2e1.1o1	0.0555;0.9445	0.0213;0.0213	2	2	2443210-2443387;2443293-2443387	
AT3G55260.Araport11.447	AT3G55260.Araport11.447:t:20491596-20491655	t|1e1.1o1|1e2.1o1	0.0841;0.9159	0.0329;0.0329	2	3	20490998-20491596;20491386-20491596	
AT4G17310.Araport11.447	AT4G17310.Araport11.447:s:9686444-9686616	s|1e1.1o1|1e2.1o1|2e1.1o1	0.3826;0.3831;0.2329	0.1165;0.1084;0.0998	3	3	9686024-9686498;9685454-9686498;9686024-9686444	
AT3G07670.Araport11.447	AT3G07670.Araport11.447:s:2453357-2453437	s|1e1.1o1|2e1.1o1	0.1940;0.8060	0.0590;0.0590	2	2	2453429-2453620;2453437-2453620	
AT5G20950.Araport11.447	AT5G20950.Araport11.447:s:7111196-na	s|1e1.1o2|1e1.2o2	0.1591;0.8409	0.0355;0.0355	2	2	7110819-7111196;7110797-7111196	
AT3G07700.Araport11.447	AT3G07700.Araport11.447:s:2461114-2461284	s|1e1.1o2|2e1.2o2	0.0103;0.9897	0.0039;0.0039	2	2	2461048-2461115;2461046-2461114	
AT3G55290.Araport11.447	AT3G55290.Araport11.447:s:na-20502670	s|1e1.1o1|1e2.1o1	0.2717;0.7283	0.0726;0.0726	2	3	20502670-20502906;20502670-20502909	
AT5G47650.Araport11.447	AT5G47650.Araport11.447:s:19310855-19310892	s|1e1.1o1|2e1.1o1	0.9383;0.0617	0.0295;0.0295	2	2	19310785-19310858;19310785-19310855	
AT5G47650.Araport11.447	AT5G47650.Araport11.447:s:19310677-19310785	s|1e1.1o1|1e2.1o1	0.9347;0.0653	0.0403;0.0403	2	3	19310579-19310677;19310509-19310677	
AT3G55330.Araport11.447	AT3G55330.Araport11.447:s:20514937-20515017	s|1e1.1o2|1e1.2o2	0.8718;0.1282	0.0420;0.0420	2	2	20514863-20514937;20514854-20514937	
AT1G03290.Araport11.447	AT1G03290.Araport11.447:s:807951-808017	s|1e1.1o2|1e1.2o2	0.0441;0.9559	0.0199;0.0199	2	2	808017-808211;808017-808229	
AT3G07700.Araport11.447	AT3G07700.Araport11.447:t:na-2463247	t|1e1.1o1|1e2.1o1|1e3.1o1	0.8916;0.0331;0.0762	0.0305;0.0184;0.0258	3	4	2463247-2463669;2463247-2463590;2463247-2463553	
AT1G20920.Araport11.447	AT1G20920.Araport11.447:s:na-7288843	s|1e1.1o1|1e2.1o1	0.9108;0.0892	0.0605;0.0605	2	3	7288843-7289000;7288843-7289386	
AT1G03290.Araport11.447	AT1G03290.Araport11.447:t:807951-808017	t|1e1.1o1|1e2.1o1	0.3844;0.6156	0.0549;0.0549	2	3	807510-807951;807631-807951	
AT4G17330.Araport11.447	AT4G17330.Araport11.447:s:9697323-9697422	s|1e1.1o1|2e1.1o1	0.5374;0.4626	0.0738;0.0738	2	2	9697182-9697350;9697182-9697323	
